country_code,year,fiscal_balance_pct_gdp,gross_debt_pct_gdp
BLR,2024,0.5387989130815501,38.69875445949506
BLR,2025,0.1503254548365785,33.06236614809042
BLR,2026,-0.1792714596078886,33.07007728237645
BLZ,2010,-1.903363525949149,68.4168513740567
BLZ,2011,-1.05577430319715,66.21857664582515
BLZ,2012,-0.2236792171570918,63.13261181139638
BLZ,2013,-1.208390503625943,62.77952487327187
BLZ,2014,-1.723727590170324,61.54351832093771
BLZ,2015,-5.143062908200159,65.07701543265544
BLZ,2016,-4.472746360036143,70.45748147749434
BLZ,2017,-3.480947649644144,78.11535266873447
BLZ,2018,-1.366477479629438,79.02323755991604
BLZ,2019,-2.90225272768362,78.62095982809845
BLZ,2020,-8.56663101923083,103.0368105763076
BLZ,2021,-3.290641573807473,82.20918557248467
BLZ,2022,-1.043235873838408,66.82558012353932
BLZ,2023,-2.424285169243894,67.49543798075511
BLZ,2024,-1.515069671807193,65.43611941321966
BLZ,2025,-0.9603423654776547,67.88413379558006
BLZ,2026,-1.498635305505943,63.19554606116902
BOL,2010,1.415487451446418,32.8085020140094
BOL,2011,0.7188200365400171,30.54358371061064
BOL,2012,1.488398810105664,30.70978563330834
BOL,2013,0.5112559020696877,30.99583386176052
BOL,2014,-2.883523787523423,31.79564158637701
BOL,2015,-5.75821713048146,33.96405053314508
BOL,2016,-5.952109496595041,38.20192054264864
BOL,2017,-6.415141320590483,41.86366556311279
BOL,2018,-6.800505068355227,44.1667075253305
BOL,2019,-6.043291009661794,48.87226007426815
BOL,2020,-10.98246619738526,67.49749879816083
BOL,2021,-7.865537373693535,68.70451634177623
BOL,2022,-6.148659280636658,69.17418520831576
BOL,2023,-9.461562061898569,78.28108891343109
BOL,2024,-8.700907691379745,83.21869918444033
BOL,2025,-11.59880604196705,84.7710027552912
BOL,2026,-9.298761108421575,102.7020826986985
BRA,2010,-3.553745055756441,62.43320186544607
BRA,2011,-2.741326509014295,60.63370963951981
BRA,2012,-2.351326054238425,61.61425483344237
BRA,2013,-3.422132664528729,59.59468189108299
BRA,2014,-6.274931658630378,61.61714915160082
BRA,2015,-9.281377058926877,71.72967654230278
BRA,2016,-7.990614069334555,77.42219076515087
BRA,2017,-7.96967133406469,82.74495268819079
BRA,2018,-6.990138177991848,84.77704569018142
BRA,2019,-4.858526203193989,87.11848081190455
BRA,2020,-11.63688808639393,96.00683885472621
BRA,2021,-2.630748877740941,88.93427246539746
BRA,2022,-3.964695645796055,83.93883510195883
BRA,2023,-7.712440135156036,84.00051814346922
BRA,2024,-6.171971556699233,87.0278866979386
BRA,2025,-8.069368702560554,93.3291760347397
BRA,2026,-7.706219401180793,96.54030638760304
